subject,italian,menu_date,veggie_label,response
70,TRUE,27,organic,1
245,FALSE,16,organic,0
44,FALSE,4,sustainable,0
44,FALSE,5,standard,0
44,FALSE,7,organic-sustainable,0
44,FALSE,14,standard,0
44,FALSE,15,standard,0
44,FALSE,16,organic,0
44,FALSE,17,organic-sustainable,0
44,FALSE,18,sustainable,0
250,TRUE,1,standard,0
250,TRUE,2,organic,0
250,TRUE,4,organic-sustainable,0
250,TRUE,6,standard,0
250,TRUE,8,organic,0
250,TRUE,10,standard,0
250,TRUE,18,sustainable,0
250,TRUE,19,organic,0
250,TRUE,20,organic-sustainable,0
250,TRUE,21,standard,0
250,TRUE,22,standard,0
250,TRUE,24,sustainable,0
250,TRUE,26,standard,0
250,TRUE,30,organic-sustainable,0
250,TRUE,31,standard,0
45,TRUE,12,sustainable,1
45,TRUE,13,organic-sustainable,1
45,TRUE,17,organic-sustainable,1
45,TRUE,23,organic-sustainable,0
46,FALSE,12,sustainable,1
46,FALSE,14,organic,1
46,FALSE,16,organic,1
46,FALSE,18,sustainable,1
46,FALSE,20,organic-sustainable,1
46,FALSE,21,standard,1
46,FALSE,23,organic-sustainable,1
402,FALSE,10,standard,1
402,FALSE,11,standard,0
402,FALSE,12,sustainable,1
402,FALSE,13,organic-sustainable,0
402,FALSE,16,organic,1
402,FALSE,19,organic,0
402,FALSE,22,standard,0
402,FALSE,24,sustainable,0
402,FALSE,27,organic,0
402,FALSE,30,organic-sustainable,0
251,TRUE,9,sustainable,0
251,TRUE,10,standard,0
251,TRUE,11,standard,0
251,TRUE,12,sustainable,0
251,TRUE,14,organic,1
251,TRUE,15,standard,0
251,TRUE,16,organic,0
251,TRUE,18,sustainable,1
251,TRUE,22,standard,0
251,TRUE,23,organic-sustainable,0
251,TRUE,26,standard,0
251,TRUE,27,organic,0
251,TRUE,30,organic-sustainable,0
71,TRUE,2,organic,0
71,TRUE,7,organic-sustainable,0
71,TRUE,12,sustainable,0
71,TRUE,14,organic,0
71,TRUE,23,organic-sustainable,0
71,TRUE,30,organic-sustainable,0
47,TRUE,4,organic-sustainable,0
47,TRUE,5,standard,0
47,TRUE,7,organic-sustainable,0
47,TRUE,9,sustainable,0
47,TRUE,10,standard,0
47,TRUE,12,sustainable,0
47,TRUE,14,organic,0
47,TRUE,14,standard,0
47,TRUE,20,organic-sustainable,0
47,TRUE,21,standard,0
47,TRUE,22,standard,0
47,TRUE,23,organic-sustainable,0
47,TRUE,24,sustainable,0
48,TRUE,4,sustainable,1
48,TRUE,7,organic-sustainable,0
48,TRUE,9,sustainable,1
48,TRUE,12,sustainable,1
48,TRUE,16,organic,1
72,TRUE,2,organic,1
72,TRUE,12,sustainable,0
72,TRUE,16,organic,1
72,TRUE,25,standard,0
72,TRUE,27,organic,0
72,TRUE,30,organic-sustainable,1
72,TRUE,31,standard,0
73,TRUE,2,organic,0
73,TRUE,4,sustainable,0
73,TRUE,5,standard,0
73,TRUE,7,organic-sustainable,0
73,TRUE,10,standard,0
73,TRUE,11,standard,0
73,TRUE,12,sustainable,0
73,TRUE,14,organic,0
73,TRUE,23,organic-sustainable,0
73,TRUE,25,standard,0
73,TRUE,26,standard,0
73,TRUE,27,organic,0
73,TRUE,30,organic-sustainable,0
49,TRUE,2,organic,0
49,TRUE,4,sustainable,0
49,TRUE,5,standard,1
49,TRUE,12,sustainable,0
49,TRUE,21,standard,0
50,TRUE,4,organic-sustainable,1
50,TRUE,5,standard,1
50,TRUE,7,organic-sustainable,0
50,TRUE,9,sustainable,1
50,TRUE,12,sustainable,0
50,TRUE,16,organic,1
50,TRUE,18,sustainable,1
50,TRUE,20,organic-sustainable,1
50,TRUE,21,standard,1
50,TRUE,23,organic-sustainable,1
282,TRUE,2,organic,1
282,TRUE,6,standard,1
282,TRUE,7,organic-sustainable,0
282,TRUE,12,sustainable,1
282,TRUE,15,standard,1
282,TRUE,16,organic,0
282,TRUE,18,sustainable,0
282,TRUE,20,organic-sustainable,1
282,TRUE,29,standard,1
74,TRUE,7,organic-sustainable,0
74,TRUE,8,organic,1
74,TRUE,11,standard,0
74,TRUE,25,standard,1
74,TRUE,26,standard,0
74,TRUE,27,organic,1
74,TRUE,28,standard,0
424,FALSE,4,organic-sustainable,1
424,FALSE,5,standard,0
424,FALSE,7,organic-sustainable,0
424,FALSE,8,organic,0
424,FALSE,9,sustainable,0
424,FALSE,12,sustainable,1
424,FALSE,15,standard,0
424,FALSE,16,organic,1
424,FALSE,20,organic-sustainable,0
424,FALSE,23,organic-sustainable,0
424,FALSE,27,organic,0
424,FALSE,29,standard,0
424,FALSE,30,organic-sustainable,1
252,TRUE,4,organic-sustainable,0
252,TRUE,5,standard,0
252,TRUE,9,sustainable,0
252,TRUE,11,standard,0
252,TRUE,12,sustainable,0
252,TRUE,14,organic,0
252,TRUE,18,sustainable,0
252,TRUE,23,organic-sustainable,0
252,TRUE,27,organic,0
252,TRUE,30,organic-sustainable,0
283,FALSE,2,organic,1
283,FALSE,7,organic-sustainable,1
283,FALSE,12,sustainable,1
283,FALSE,16,organic,0
283,FALSE,18,sustainable,1
283,FALSE,27,organic,1
66,FALSE,4,organic-sustainable,1
66,FALSE,16,organic,1
66,FALSE,21,standard,1
66,FALSE,23,organic-sustainable,1
284,FALSE,1,standard,1
284,FALSE,2,organic,1
284,FALSE,3,sustainable,1
284,FALSE,6,standard,1
284,FALSE,7,organic-sustainable,1
284,FALSE,8,organic,1
284,FALSE,15,standard,1
284,FALSE,16,organic,1
284,FALSE,17,organic-sustainable,1
284,FALSE,18,sustainable,1
284,FALSE,26,standard,1
284,FALSE,28,standard,1
284,FALSE,29,standard,1
65,TRUE,4,organic-sustainable,0
65,TRUE,5,standard,0
65,TRUE,6,standard,1
65,TRUE,7,organic-sustainable,1
65,TRUE,9,sustainable,1
65,TRUE,10,standard,0
65,TRUE,12,sustainable,1
65,TRUE,14,organic,1
65,TRUE,16,organic,0
65,TRUE,18,sustainable,1
65,TRUE,23,organic-sustainable,1
75,FALSE,2,organic,1
75,FALSE,3,sustainable,0
75,FALSE,10,standard,0
75,FALSE,11,standard,0
75,FALSE,13,organic-sustainable,0
75,FALSE,23,organic-sustainable,0
75,FALSE,29,standard,1
75,FALSE,30,organic-sustainable,0
51,TRUE,4,organic-sustainable,1
51,TRUE,5,standard,1
51,TRUE,7,organic-sustainable,0
51,TRUE,8,organic,0
51,TRUE,9,sustainable,1
51,TRUE,12,sustainable,1
51,TRUE,14,organic,1
51,TRUE,18,sustainable,1
51,TRUE,20,organic-sustainable,1
51,TRUE,21,standard,1
52,FALSE,3,sustainable,0
52,FALSE,5,standard,1
52,FALSE,10,standard,1
52,FALSE,18,sustainable,1
52,FALSE,20,organic-sustainable,1
52,FALSE,21,standard,0
52,FALSE,23,organic-sustainable,0
52,FALSE,25,standard,1
5,FALSE,1,standard,0
5,FALSE,4,organic-sustainable,0
5,FALSE,6,standard,1
5,FALSE,9,sustainable,0
5,FALSE,10,standard,0
53,TRUE,2,organic,0
53,TRUE,4,sustainable,0
53,TRUE,5,standard,0
53,TRUE,9,sustainable,0
53,TRUE,10,standard,0
53,TRUE,13,organic-sustainable,0
53,TRUE,14,organic,0
53,TRUE,17,organic-sustainable,0
53,TRUE,18,sustainable,0
53,TRUE,20,organic-sustainable,1
53,TRUE,21,standard,0
53,TRUE,23,organic-sustainable,0
53,TRUE,24,sustainable,1
53,TRUE,25,standard,0
285,TRUE,6,standard,0
285,TRUE,11,standard,1
285,TRUE,12,sustainable,0
285,TRUE,15,standard,0
285,TRUE,26,standard,0
158,TRUE,2,organic,0
158,TRUE,4,sustainable,1
158,TRUE,7,organic-sustainable,1
158,TRUE,9,sustainable,0
158,TRUE,14,standard,1
158,TRUE,18,sustainable,1
158,TRUE,20,organic-sustainable,1
158,TRUE,24,sustainable,1
286,TRUE,1,standard,0
286,TRUE,11,standard,0
286,TRUE,12,sustainable,1
286,TRUE,29,standard,1
54,TRUE,2,organic,1
54,TRUE,4,organic-sustainable,0
54,TRUE,5,standard,0
54,TRUE,9,sustainable,1
54,TRUE,12,sustainable,1
54,TRUE,14,organic,1
54,TRUE,15,standard,0
54,TRUE,16,organic,0
54,TRUE,18,sustainable,0
54,TRUE,20,organic-sustainable,0
54,TRUE,23,organic-sustainable,1
381,TRUE,7,organic-sustainable,1
381,TRUE,8,organic,0
381,TRUE,13,organic-sustainable,0
381,TRUE,21,standard,0
381,TRUE,24,sustainable,1
381,TRUE,25,standard,0
381,TRUE,27,organic,0
403,FALSE,4,organic-sustainable,1
403,FALSE,10,standard,0
403,FALSE,13,organic-sustainable,0
403,FALSE,19,organic,0
403,FALSE,22,standard,0
403,FALSE,30,organic-sustainable,0
6,TRUE,19,organic,0
55,TRUE,4,organic-sustainable,0
55,TRUE,4,sustainable,0
55,TRUE,5,standard,0
55,TRUE,7,organic-sustainable,0
55,TRUE,8,organic,1
55,TRUE,9,sustainable,1
55,TRUE,14,organic,0
55,TRUE,16,organic,0
55,TRUE,18,sustainable,1
55,TRUE,20,organic-sustainable,0
55,TRUE,23,organic-sustainable,0
425,FALSE,5,standard,1
425,FALSE,8,organic,0
425,FALSE,15,standard,1
425,FALSE,27,organic,0
425,FALSE,30,organic-sustainable,0
76,TRUE,1,standard,0
76,TRUE,2,organic,0
76,TRUE,4,sustainable,0
76,TRUE,6,standard,0
76,TRUE,8,organic,0
76,TRUE,9,sustainable,0
76,TRUE,10,standard,0
76,TRUE,13,organic-sustainable,0
76,TRUE,23,organic-sustainable,0
76,TRUE,25,standard,0
77,FALSE,2,organic,0
77,FALSE,4,organic-sustainable,0
77,FALSE,5,standard,0
77,FALSE,11,standard,0
77,FALSE,12,sustainable,0
77,FALSE,14,standard,0
77,FALSE,17,organic-sustainable,0
77,FALSE,23,organic-sustainable,1
77,FALSE,26,standard,0
77,FALSE,27,organic,0
77,FALSE,30,organic-sustainable,0
77,FALSE,31,standard,0
287,TRUE,1,standard,1
287,TRUE,2,organic,0
287,TRUE,11,standard,0
287,TRUE,12,sustainable,1
287,TRUE,15,standard,1
287,TRUE,16,organic,0
287,TRUE,17,organic-sustainable,1
287,TRUE,18,sustainable,0
287,TRUE,20,organic-sustainable,0
287,TRUE,27,organic,0
7,TRUE,1,standard,0
56,TRUE,4,sustainable,1
56,TRUE,5,standard,1
56,TRUE,6,standard,1
56,TRUE,8,organic,0
56,TRUE,9,sustainable,0
56,TRUE,12,sustainable,1
56,TRUE,14,standard,1
56,TRUE,16,organic,1
56,TRUE,22,standard,1
56,TRUE,23,organic-sustainable,1
56,TRUE,24,sustainable,1
159,TRUE,2,organic,1
159,TRUE,5,standard,0
159,TRUE,7,organic-sustainable,1
159,TRUE,8,organic,0
159,TRUE,12,sustainable,0
159,TRUE,14,organic,0
159,TRUE,18,sustainable,1
159,TRUE,20,organic-sustainable,0
159,TRUE,24,sustainable,0
159,TRUE,30,organic-sustainable,1
253,TRUE,4,sustainable,0
253,TRUE,12,sustainable,0
253,TRUE,14,organic,1
253,TRUE,15,standard,0
253,TRUE,16,organic,0
253,TRUE,22,standard,1
253,TRUE,23,organic-sustainable,0
253,TRUE,27,organic,0
253,TRUE,29,standard,1
288,TRUE,1,standard,0
288,TRUE,2,organic,1
288,TRUE,6,standard,0
288,TRUE,7,organic-sustainable,0
288,TRUE,10,standard,1
288,TRUE,12,sustainable,0
288,TRUE,16,organic,0
288,TRUE,18,sustainable,1
288,TRUE,27,organic,0
382,FALSE,5,standard,1
382,FALSE,9,sustainable,1
382,FALSE,13,organic-sustainable,0
382,FALSE,25,standard,1
2,TRUE,2,organic,0
2,TRUE,7,organic-sustainable,1
2,TRUE,8,organic,0
2,TRUE,15,standard,1
2,TRUE,19,organic,1
2,TRUE,30,organic-sustainable,1
57,TRUE,4,organic-sustainable,0
57,TRUE,5,standard,1
57,TRUE,9,sustainable,1
57,TRUE,12,sustainable,0
57,TRUE,16,organic,1
57,TRUE,18,sustainable,0
57,TRUE,19,organic,1
57,TRUE,20,organic-sustainable,0
57,TRUE,21,standard,0
57,TRUE,23,organic-sustainable,0
289,FALSE,11,standard,1
289,FALSE,16,organic,1
289,FALSE,18,sustainable,0
289,FALSE,22,standard,1
58,TRUE,12,sustainable,0
58,TRUE,16,organic,0
58,TRUE,18,sustainable,0
58,TRUE,19,organic,1
58,TRUE,20,organic-sustainable,0
58,TRUE,23,organic-sustainable,0
58,TRUE,24,sustainable,1
78,TRUE,2,organic,0
78,TRUE,7,organic-sustainable,0
78,TRUE,12,sustainable,0
78,TRUE,17,organic-sustainable,0
78,TRUE,23,organic-sustainable,0
78,TRUE,24,sustainable,0
78,TRUE,26,standard,0
78,TRUE,27,organic,0
78,TRUE,30,organic-sustainable,0
79,TRUE,5,standard,0
290,TRUE,2,organic,0
290,TRUE,6,standard,1
290,TRUE,11,standard,0
290,TRUE,12,sustainable,0
290,TRUE,15,standard,0
290,TRUE,18,sustainable,0
290,TRUE,20,organic-sustainable,0
290,TRUE,26,standard,0
290,TRUE,27,organic,0
290,TRUE,30,organic-sustainable,0
80,TRUE,4,organic-sustainable,0
80,TRUE,7,organic-sustainable,0
80,TRUE,14,organic,0
80,TRUE,23,organic-sustainable,0
80,TRUE,30,organic-sustainable,0
81,FALSE,4,sustainable,1
81,FALSE,10,standard,0
81,FALSE,13,organic-sustainable,0
81,FALSE,14,standard,0
81,FALSE,23,organic-sustainable,0
81,FALSE,28,standard,0
81,FALSE,31,standard,1
374,TRUE,1,standard,1
374,TRUE,2,organic,0
374,TRUE,6,standard,0
374,TRUE,7,organic-sustainable,0
374,TRUE,11,standard,1
374,TRUE,12,sustainable,1
374,TRUE,15,standard,1
374,TRUE,16,organic,1
374,TRUE,18,sustainable,1
374,TRUE,26,standard,1
374,TRUE,27,organic,0
187,TRUE,31,standard,0
254,TRUE,4,organic-sustainable,0
254,TRUE,7,organic-sustainable,0
254,TRUE,10,standard,0
254,TRUE,11,standard,0
254,TRUE,12,sustainable,0
254,TRUE,14,organic,0
254,TRUE,15,standard,0
254,TRUE,16,organic,0
254,TRUE,22,standard,0
254,TRUE,23,organic-sustainable,0
254,TRUE,27,organic,0
254,TRUE,29,standard,0
254,TRUE,30,organic-sustainable,0
82,TRUE,4,organic-sustainable,0
82,TRUE,26,standard,0
291,TRUE,18,sustainable,1
291,TRUE,20,organic-sustainable,1
291,TRUE,25,standard,1
156,TRUE,2,organic,0
156,TRUE,4,organic-sustainable,0
156,TRUE,7,organic-sustainable,0
156,TRUE,11,standard,0
156,TRUE,12,sustainable,0
156,TRUE,14,organic,0
156,TRUE,23,organic-sustainable,0
156,TRUE,26,standard,0
156,TRUE,27,organic,0
156,TRUE,30,organic-sustainable,0
156,TRUE,31,standard,0
292,TRUE,1,standard,1
292,TRUE,2,organic,1
292,TRUE,6,standard,1
292,TRUE,7,organic-sustainable,0
292,TRUE,8,organic,1
292,TRUE,11,standard,1
292,TRUE,15,standard,0
292,TRUE,16,organic,1
292,TRUE,18,sustainable,1
292,TRUE,21,standard,0
292,TRUE,22,standard,1
255,TRUE,2,organic,0
255,TRUE,4,organic-sustainable,0
255,TRUE,7,organic-sustainable,0
255,TRUE,9,sustainable,0
255,TRUE,12,sustainable,1
255,TRUE,13,organic-sustainable,0
255,TRUE,14,organic,0
255,TRUE,18,sustainable,1
255,TRUE,21,standard,0
255,TRUE,24,sustainable,1
255,TRUE,26,standard,1
255,TRUE,29,standard,1
160,TRUE,2,organic,0
160,TRUE,4,organic-sustainable,0
160,TRUE,5,standard,0
160,TRUE,6,standard,0
160,TRUE,7,organic-sustainable,0
160,TRUE,8,organic,0
160,TRUE,11,standard,1
160,TRUE,12,sustainable,0
160,TRUE,14,organic,0
160,TRUE,16,organic,0
160,TRUE,18,sustainable,0
160,TRUE,20,organic-sustainable,0
160,TRUE,22,standard,0
404,TRUE,12,sustainable,0
404,TRUE,13,organic-sustainable,0
404,TRUE,16,organic,0
404,TRUE,22,standard,1
404,TRUE,24,sustainable,0
404,TRUE,26,standard,1
404,TRUE,27,organic,0
404,TRUE,30,organic-sustainable,0
161,TRUE,2,organic,1
161,TRUE,4,organic-sustainable,1
161,TRUE,5,standard,1
161,TRUE,7,organic-sustainable,1
161,TRUE,12,sustainable,0
161,TRUE,14,organic,0
161,TRUE,18,sustainable,1
161,TRUE,20,organic-sustainable,1
161,TRUE,30,organic-sustainable,1
60,TRUE,4,organic-sustainable,0
60,TRUE,5,standard,0
60,TRUE,7,organic-sustainable,0
60,TRUE,12,sustainable,0
60,TRUE,14,organic,0
60,TRUE,16,organic,1
60,TRUE,18,sustainable,1
60,TRUE,20,organic-sustainable,0
60,TRUE,21,standard,0
293,TRUE,1,standard,0
293,TRUE,2,organic,0
293,TRUE,6,standard,0
293,TRUE,7,organic-sustainable,0
293,TRUE,11,standard,0
293,TRUE,12,sustainable,1
293,TRUE,15,standard,0
293,TRUE,16,organic,1
293,TRUE,20,organic-sustainable,1
293,TRUE,26,standard,0
293,TRUE,27,organic,0
293,TRUE,29,standard,0
83,FALSE,1,standard,1
83,FALSE,3,sustainable,1
83,FALSE,4,sustainable,0
83,FALSE,6,standard,0
83,FALSE,8,organic,1
83,FALSE,11,standard,0
83,FALSE,14,organic,0
83,FALSE,22,standard,1
83,FALSE,27,organic,1
61,TRUE,4,organic-sustainable,0
61,TRUE,5,standard,1
61,TRUE,7,organic-sustainable,1
61,TRUE,12,sustainable,0
61,TRUE,16,organic,1
61,TRUE,18,sustainable,0
61,TRUE,20,organic-sustainable,1
61,TRUE,21,standard,0
61,TRUE,23,organic-sustainable,1
294,TRUE,1,standard,1
294,TRUE,2,organic,0
294,TRUE,3,sustainable,1
294,TRUE,4,organic-sustainable,1
294,TRUE,6,standard,0
294,TRUE,7,organic-sustainable,1
294,TRUE,8,organic,1
294,TRUE,9,sustainable,1
294,TRUE,10,standard,1
294,TRUE,11,standard,1
294,TRUE,12,sustainable,1
294,TRUE,13,organic-sustainable,1
294,TRUE,14,organic,0
294,TRUE,15,standard,0
294,TRUE,16,organic,0
294,TRUE,17,organic-sustainable,0
294,TRUE,18,sustainable,1
294,TRUE,20,organic-sustainable,0
294,TRUE,26,standard,0
294,TRUE,27,organic,1
294,TRUE,31,standard,1
220,TRUE,2,organic,1
220,TRUE,4,organic-sustainable,0
220,TRUE,7,organic-sustainable,0
220,TRUE,9,sustainable,0
220,TRUE,12,sustainable,1
220,TRUE,14,organic,0
220,TRUE,16,organic,1
220,TRUE,21,standard,0
220,TRUE,23,organic-sustainable,0
220,TRUE,25,standard,1
383,TRUE,7,organic-sustainable,1
84,TRUE,1,standard,1
84,TRUE,2,organic,0
84,TRUE,4,organic-sustainable,0
84,TRUE,7,organic-sustainable,0
84,TRUE,11,standard,0
84,TRUE,14,standard,1
84,TRUE,22,standard,0
4,TRUE,2,organic,1
4,TRUE,8,organic,1
4,TRUE,9,sustainable,0
4,TRUE,11,standard,0
4,TRUE,12,sustainable,1
4,TRUE,14,organic,1
4,TRUE,15,standard,0
4,TRUE,30,organic-sustainable,0
295,TRUE,12,sustainable,0
295,TRUE,13,organic-sustainable,0
295,TRUE,15,standard,0
295,TRUE,16,organic,0
37,TRUE,9,sustainable,0
37,TRUE,10,standard,0
63,TRUE,4,organic-sustainable,0
63,TRUE,5,standard,0
63,TRUE,6,standard,1
63,TRUE,8,organic,1
63,TRUE,9,sustainable,1
63,TRUE,11,standard,0
63,TRUE,12,sustainable,0
63,TRUE,14,organic,1
63,TRUE,18,sustainable,0
63,TRUE,20,organic-sustainable,0
63,TRUE,23,organic-sustainable,0
63,TRUE,31,standard,0
384,FALSE,5,standard,1
384,FALSE,7,organic-sustainable,1
384,FALSE,8,organic,1
384,FALSE,9,sustainable,0
384,FALSE,10,standard,0
384,FALSE,13,organic-sustainable,0
384,FALSE,14,organic,0
384,FALSE,18,sustainable,0
384,FALSE,19,organic,0
384,FALSE,20,organic-sustainable,0
384,FALSE,21,standard,0
384,FALSE,23,organic-sustainable,1
384,FALSE,24,sustainable,0
384,FALSE,25,standard,0
384,FALSE,26,standard,0
384,FALSE,27,organic,1
384,FALSE,30,organic-sustainable,1
256,TRUE,4,sustainable,0
256,TRUE,7,organic-sustainable,0
256,TRUE,9,sustainable,1
256,TRUE,10,standard,0
256,TRUE,11,standard,0
256,TRUE,12,sustainable,0
256,TRUE,22,standard,0
256,TRUE,23,organic-sustainable,0
256,TRUE,26,standard,0
256,TRUE,27,organic,0
256,TRUE,29,standard,0
256,TRUE,30,organic-sustainable,0
426,FALSE,4,organic-sustainable,0
426,FALSE,5,standard,0
426,FALSE,7,organic-sustainable,1
426,FALSE,8,organic,0
426,FALSE,9,sustainable,0
426,FALSE,12,sustainable,0
426,FALSE,13,organic-sustainable,0
426,FALSE,15,standard,0
426,FALSE,20,organic-sustainable,0
426,FALSE,23,organic-sustainable,0
426,FALSE,27,organic,0
426,FALSE,29,standard,0
426,FALSE,30,organic-sustainable,0
427,FALSE,4,sustainable,0
427,FALSE,5,standard,1
427,FALSE,6,standard,0
427,FALSE,7,organic-sustainable,1
427,FALSE,8,organic,0
427,FALSE,9,sustainable,1
427,FALSE,10,standard,0
427,FALSE,12,sustainable,0
427,FALSE,13,organic-sustainable,1
427,FALSE,15,standard,0
427,FALSE,16,organic,0
427,FALSE,19,organic,1
427,FALSE,20,organic-sustainable,0
427,FALSE,21,standard,1
427,FALSE,22,standard,1
427,FALSE,23,organic-sustainable,0
427,FALSE,24,sustainable,1
427,FALSE,25,standard,1
427,FALSE,26,standard,1
427,FALSE,27,organic,0
427,FALSE,28,standard,1
427,FALSE,30,organic-sustainable,0
38,TRUE,15,standard,0
38,TRUE,16,organic,0
38,TRUE,17,organic-sustainable,0
38,TRUE,18,sustainable,0
38,TRUE,22,standard,0
38,TRUE,23,organic-sustainable,0
38,TRUE,24,sustainable,0
15,TRUE,4,sustainable,0
15,TRUE,5,standard,1
15,TRUE,7,organic-sustainable,1
15,TRUE,9,sustainable,0
15,TRUE,12,sustainable,0
15,TRUE,13,organic-sustainable,0
15,TRUE,14,standard,1
15,TRUE,19,organic,0
15,TRUE,21,standard,0
15,TRUE,25,standard,0
428,FALSE,4,organic-sustainable,0
428,FALSE,5,standard,0
428,FALSE,7,organic-sustainable,1
428,FALSE,8,organic,0
428,FALSE,9,sustainable,0
428,FALSE,10,standard,0
428,FALSE,12,sustainable,1
428,FALSE,13,organic-sustainable,0
428,FALSE,15,standard,1
428,FALSE,16,organic,0
428,FALSE,17,organic-sustainable,0
428,FALSE,18,sustainable,1
428,FALSE,20,organic-sustainable,1
428,FALSE,21,standard,0
428,FALSE,23,organic-sustainable,1
428,FALSE,24,sustainable,1
428,FALSE,25,standard,0
428,FALSE,27,organic,1
428,FALSE,29,standard,0
428,FALSE,30,organic-sustainable,1
85,TRUE,4,organic-sustainable,0
85,TRUE,12,sustainable,1
85,TRUE,17,organic-sustainable,0
85,TRUE,23,organic-sustainable,1
85,TRUE,27,organic,1
85,TRUE,30,organic-sustainable,1
296,TRUE,16,organic,0
191,FALSE,1,standard,0
191,FALSE,2,organic,0
297,TRUE,2,organic,0
297,TRUE,6,standard,1
297,TRUE,16,organic,0
297,TRUE,18,sustainable,1
297,TRUE,26,standard,0
297,TRUE,27,organic,1
297,TRUE,29,standard,1
16,TRUE,18,sustainable,1
16,TRUE,21,standard,0
298,TRUE,7,organic-sustainable,0
298,TRUE,12,sustainable,0
298,TRUE,15,standard,0
298,TRUE,16,organic,0
298,TRUE,26,standard,0
385,FALSE,9,sustainable,1
385,FALSE,13,organic-sustainable,1
385,FALSE,30,organic-sustainable,0
17,FALSE,4,sustainable,1
17,FALSE,7,organic-sustainable,1
17,FALSE,8,organic,1
17,FALSE,10,standard,1
17,FALSE,14,organic,1
17,FALSE,15,standard,1
17,FALSE,16,organic,1
17,FALSE,20,organic-sustainable,1
17,FALSE,23,organic-sustainable,0
39,TRUE,9,sustainable,0
86,TRUE,2,organic,0
86,TRUE,4,organic-sustainable,0
86,TRUE,7,organic-sustainable,0
86,TRUE,11,standard,0
86,TRUE,12,sustainable,0
86,TRUE,13,organic-sustainable,0
86,TRUE,14,organic,0
86,TRUE,17,organic-sustainable,0
86,TRUE,23,organic-sustainable,0
86,TRUE,27,organic,0
87,TRUE,2,organic,0
87,TRUE,4,organic-sustainable,0
87,TRUE,7,organic-sustainable,0
87,TRUE,10,standard,0
87,TRUE,12,sustainable,1
87,TRUE,23,organic-sustainable,1
87,TRUE,27,organic,0
18,TRUE,2,organic,0
18,TRUE,4,organic-sustainable,0
